tconst,numVotes,averageRating
tt0052328,756,7.0
tt0052334,177,6.0
tt0052337,100,6.0
tt0052339,359,6.7
tt0052351,52,5.2
tt0052352,481,6.2
tt0052363,248,5.9
tt0052528,640,6.7
tt0052556,5972,7.2
tt0052571,887,6.9
tt0052573,620,6.6
tt0052578,215,6.1
tt0052589,1200,7.0
tt0052595,455,6.2
tt0052604,1088,5.1
tt0052614,78,7.0
tt0052644,1517,6.9
tt0052670,86,5.4
tt0052686,189,5.2
tt0052690,432,6.4
tt0052698,4454,7.5
tt0052703,69,6.2
tt0052704,175,5.9
tt0052708,3263,7.2
tt0052726,194,6.3
tt0052733,2284,6.6
tt0052737,302,6.9
tt0052753,588,7.2
tt0052759,436,6.8
tt0052765,1424,6.5
tt0052769,273,6.1
tt0052778,361,5.6
tt0052781,773,7.1
tt0052782,2347,4.6
tt0052786,1901,7.3
tt0052810,1382,6.8
tt0052836,97,5.0
tt0052854,115,6.2
tt0052858,364,5.9
tt0052860,283,5.7
tt0052861,4640,8.1
tt0052893,36254,7.8
tt0052895,66,3.6
tt0052923,735,7.2
tt0052924,2972,6.6
tt0052937,303,5.5
tt0052961,2614,7.6
tt0052964,488,5.8
tt0052999,276,5.3
tt0053002,1537,6.8
tt0053025,82,6.3
tt0053032,619,6.7
tt0053033,1525,7.0
tt0053050,1418,7.5
tt0053063,143,5.9
tt0053128,67,5.5
tt0053146,12344,7.4
tt0053168,25588,7.6
tt0053198,128701,8.1
tt0053230,384,6.6
tt0053244,2055,6.8
tt0053252,139,5.5
tt0053255,130,6.4
tt0053266,37,6.4
tt0053279,2370,7.2
tt0053307,114,5.9
tt0053333,985,7.0
tt0053340,355,5.0
tt0053348,1278,6.5
tt0053370,317,6.0
tt0053380,20,6.4
tt0053402,104,6.2
tt0053403,1738,7.1
tt0053409,48,6.2
tt0053414,118,7.3
tt0053428,743,6.3
tt0053459,35509,7.6
tt0053472,88439,7.7
tt0053473,1421,6.6
tt0053592,41,4.1
tt0053597,314,6.7
tt0053598,1287,3.2
tt0053619,32858,7.7
tt0053635,506,6.5
tt0053638,995,6.2
tt0053643,1886,7.3
tt0053666,3212,7.2
tt0053695,755,6.1
tt0053696,967,6.3
